organisation_code,system,function,url,called_by
ALA,records,records_facets,https://biocache-ws.ala.org.au/ws/occurrence/facets,"atlas_counts, show_all_values"
ALA,records,records_counts,https://biocache-ws.ala.org.au/ws/occurrences/search,atlas_counts
ALA,records,records_occurrences,https://biocache-ws.ala.org.au/ws/occurrences/offline/download,atlas_occurrences
ALA,records,records_species,https://biocache-ws.ala.org.au/ws/occurrences/facets/download,atlas_species
ALA,records,records_assertions,https://biocache-ws.ala.org.au/ws/assertions/codes,show_all_assertions
ALA,records,records_fields,https://biocache-ws.ala.org.au/ws/index/fields,show_all_fields
ALA,records,records_query,https://biocache-ws.ala.org.au/ws/webportal/params,atlas_occurrences
ALA,spatial,spatial_layers,https://spatial.ala.org.au/ws/layers,show_all_fields
ALA,species,species_lookup,https://bie-ws.ala.org.au/ws/species,atlas_taxonomy
ALA,species,species_children,https://bie-ws.ala.org.au/ws/childConcepts/,atlas_taxonomy
ALA,name-matching,names_lookup,https://namematching-ws.ala.org.au/api/getByTaxonID,search_identifiers
ALA,name-matching,names_search,https://namematching-ws.ala.org.au/api/searchByClassification,search_taxa
ALA,collections,collections_colls,https://collections.ala.org.au/ws/collection,show_all_collections
ALA,collections,collections_datasets,https://collections.ala.org.au/ws/dataResource,show_all_datasets
ALA,collections,collections_providers,https://collections.ala.org.au/ws/dataProvider,show_all_providers
ALA,data-quality,dq_details,https://data-quality-service.ala.org.au/api/v1/quality/activeProfile,search_profile_attributes
ALA,data-quality,dq_profiles,https://data-quality-service.ala.org.au/api/v1/profiles,show_all_profiles
ALA,doi,doi_download,https://doi.ala.org.au/doi/[doi-string]/download,doi_download
ALA,images,image_licences,https://images.ala.org.au/ws/licence,show_all_licences
ALA,images,image_metadata,https://images.ala.org.au/ws/image/,media_metadata
ALA,logger,logger_reasons,https://logger.ala.org.au/service/logger/reasons,show_all_reasons
ALA,lists,lists_lookup,https://lists.ala.org.au/ws/speciesList/,show_all_species_lists
BAO,records,records_facets,https://biocache-ws.biodiversityatlas.at/occurrence/facets,"atlas_counts, show_all_values"
BAO,records,records_counts,https://biocache-ws.biodiversityatlas.at/occurrences/search,atlas_counts
BAO,records,records_occurrences,https://biocache-ws.biodiversityatlas.at/occurrences/offline/download,atlas_occurrences
BAO,records,records_species,https://biocache-ws.biodiversityatlas.at/occurrences/facets/download,atlas_species
BAO,records,records_assertions,https://biocache-ws.biodiversityatlas.at/assertions/codes,show_all_assertions
BAO,records,records_fields,https://biocache-ws.biodiversityatlas.at/index/fields,show_all_fields
BAO,records,records_query,https://biocache-ws.biodiversityatlas.at/webportal/params,atlas_occurrences
BAO,spatial,spatial_layers,https://spatial.biodiversityatlas.at/ws/layers,show_all_fields
BAO,species,species_lookup,https://bie-ws.biodiversityatlas.at/species,"atlas_taxonomy, search_identifiers(?)"
BAO,species,species_children,https://bie-ws.biodiversityatlas.at/childConcepts/,atlas_taxonomy
BAO,species,names_search,https://bie-ws.biodiversityatlas.at/species/match,search_taxa
BAO,collections,collections_colls,https://collectory.biodiversityatlas.at/ws/collection,show_all_collections
BAO,collections,collections_datasets,https://collectory.biodiversityatlas.at/ws/dataResource,show_all_datasets
BAO,collections,collections_providers,https://collectory.biodiversityatlas.at/ws/dataProvider,show_all_providers
BAO,images,image_licences,https://images.biodiversityatlas.at/ws/licence,show_all_licences
BAO,images,image_metadata,https://images.biodiversityatlas.at/ws/image/,media_metadata
BAO,logger,logger_reasons,https://logger.biodiversityatlas.at/service/logger/reasons,show_all_reasons
BAO,lists,lists_lookup,https://lists.biodiversityatlas.at/ws/speciesList/,show_all_species_lists
